"","N1","N2","N3","T1","T2","T3"
"UPF1",168.972506621314,934.702446797242,50.4235255801793,1149.79178655335,2649.33767009001,1101.13636151499
"SKAP2",257.475977745522,1422.57984303948,4.15005004692298,220.705704121304,2390.97228907771,1521.99809829116
"SLC25A5",439.539448777153,34.1359193027325,78.0096524145276,9643.26949415687,17299.9825370793,7077.48882737698
"MCUB",83.9168700812139,183.130524091137,10.3611683522747,501.455962118191,214.708908090179,96.6292592892247
"HOXA11",131.443173750542,144.021204194881,0,23.1074242790901,47.8867122224266,21.2299753959313
"POLR2J",19.8918950831198,117.436831906233,0,357.868331864726,1030.12395113169,959.871283103511
"DHX33",93.4828006566019,47.6448363568402,5.6748344746864,214.491136814407,300.249305699956,132.691982799157
"MEOX1",16.27163555154,35.7985582657943,0,12.9939039049809,0,0
"THSD7A",9.68715510177644,42.0637783958045,0.464861356975342,3.94639308621293,2.03310058058839,2.78651212364747
"LIG3",174.317059918632,363.639810595762,8.53213523648249,149.217655329403,273.37811189143,138.130961599089
"RPAP3",183.983575404297,387.312357829779,1.80311610002283,481.180955075008,1283.11154612505,698.883620644101
"ACSM3",236.474814023967,27.4050007145901,0.923645274206322,75.9501171401274,337.380085756865,56.8106335541191
"REXO5",15.6353950248432,19.0572806555441,0.762894481629181,57.6157903037303,130.68005620919,56.0824837362823
"CIAPIN1",211.276101594016,63.9941739842142,21.9753691675452,986.116127588327,2370.16825561925,682.008772836644
"SPPL2B",251.980436355234,617.523544408511,8.64175517236739,394.595853263159,310.647451057076,114.197101990791
"FAM214B",58.3789770070968,436.578442090428,40.4482118682032,126.08474425722,307.591407920618,480.056123288389
"COPZ2",36.2834264303973,126.365007625605,0,48.3575435526948,197.231193560533,56.4026149905413
"PRKAR2B",207.528549666075,121.04583148496,9.84144680058214,3.94962592427483,87.6448934946086,8.31628474234061
"MSL3",250.057585939222,848.659785197746,10.9355617482791,622.362226076212,1457.14718861478,578.278910980515
"CREBBP",383.311908149053,2482.33880380245,100.016614223389,363.352578498756,427.205732163661,242.559077747365
"TSPOAP1",74.8506751036483,152.13293636634,12.7370957048974,47.7355605460415,180.09397971266,96.2958411346593
"MPO",14.4156202872707,161.8893909918,0,0,0,0
"PON1",26.2171844739047,54.2539357611157,0,0,0,0
"GCFC2",229.750329654615,108.064470617346,0.634728309169028,205.329424111545,248.961728127643,181.39317819956
"WDR54",48.3863024376452,3.12191900941614,4.74271343224156,475.967815744494,1888.31909648815,300.292182036303
"CROT",945.477162659084,15.8789311814596,1.7941757341179,1303.47038249677,2709.51346786502,2136.9364668511
"ABCB4",8.64029251291423,138.629708130802,0,2.56612159834295,11.0703235935324,22.50620985141
"KMT2E",463.165121280465,1302.04195112526,74.5249187825945,430.301196375787,536.021269052257,793.103522011086
"RHBDD2",259.157309220213,324.385327742885,47.2968962954971,2506.16004570505,2121.46464897618,2914.42158356496
"SOX8",0,0,0,2.68212785716878,0,0
"IBTK",336.496076758788,35.6539184189271,2.18252915646018,761.791524394709,660.674949366386,526.123190703035
"ZNF195",267.474631602903,89.9284516265903,2.45833693328855,521.513993099824,942.980715436884,399.841722086115
"MYCBP2",204.974862228014,362.352633658338,19.4265738129377,172.419809281935,439.820643196772,293.140369541135
"FBXL3",436.11836597015,668.254532145366,36.3589487754175,1016.15054646442,1376.39279728272,865.820789715434
"ITGAL",187.017731845743,1434.83068113621,241.011345345253,9.91135522181968,7.34849448623705,7.25644683508235
"PDK2",70.2518940296869,292.247360755265,16.0642930578372,298.247054228411,514.651295010611,296.673646983569
"ITGA3",237.717398637715,206.248509597631,3.95911296272301,1401.57055275598,5050.01602923642,3476.41649858602
"ZFX",168.359518881009,530.794432034868,7.60546379909768,202.701126767221,232.126571336181,144.68382554138
"LAMP2",360.53011248216,1696.07476534811,54.5328291560889,907.169620658502,1285.39124410579,1937.52978116886
"ITGA2B",94.626749165027,253.920613050377,0,3.57912764592507,7.42817272615472,2.28534685271281
"ASB4",2.04106315292509,25.0041231117765,0,0,0,22.5787341822495
"GDE1",209.261568763088,326.356863015441,47.1357813588031,751.168192976466,2163.34290165354,788.73960569168
"REX1BD",237.66903284202,289.808884638912,22.4414485238082,2149.99120929124,2228.39635819016,1881.8546931727
"CRLF1",109.565092090382,362.136131609072,0.637553565248536,31.8843540703051,78.2302567169924,14.5930994902439
"OSBPL7",76.3206941138166,93.8734838332779,18.614683112543,189.513703672209,153.077924561729,114.462632389103
"TMEM98",41.6597363902733,117.90050331407,0,56.0621484770059,1677.00547176946,42.3123416337704
"YBX2",33.292985227368,212.350257929645,0,0,8.55870341389045,0
"KRT33A",14.923018231847,37.4909490960915,0,23.5104764849004,9.23538324577879,14.518637486443
"MAP3K14",19.8010541976165,138.980257054426,3.85416411688956,76.9093678571453,120.517614391171,4.58875558552972
"ABCC8",24.8380063492397,116.764701261591,0.560719156579615,0,0,0
"CACNG3",6.43942735370149,24.7934406585187,0,0,0,0
"TMEM132A",69.6810713420385,232.837393707904,0,87.415640464635,929.595041226445,400.655406324675
"AP2B1",404.341329542452,850.597056781442,113.247916278407,686.868246841777,1876.89710825606,759.222479850434
"TAC1",123.544534395967,72.6972817321044,0,0,0,0
"ZNF263",96.7198099774259,161.103157032156,9.12152132474885,385.174310598857,656.652953872779,340.225338083947
"CX3CL1",54.4658652400476,73.6624846161944,0,30.1759119280121,0,13.0491893556744
"SPATA20",353.218019127935,197.582019532492,7.3343773390955,2360.6726344054,2722.18176782047,1572.34666172175
"CACNA1G",59.5950755898684,169.419098173672,0,0,9.72227581241691,10.692217805997
"TNFRSF12A",65.7288948938513,194.738198745828,2.36920952150035,561.37744260058,1736.26024311018,714.960147191478
